,Canonical URL,RSD Name,Author,Skill Statement,Category,Keywords,Standards,Certifications,Occupation Major Groups,Occupation Minor Groups,Broad Occupations,Detailed Occupations,O*Net Job Codes,Employers,Alignment Name,Alignment URL,Alignment Framework
732,https://osmt.wgu.edu/api/skills/cf381d53-be84-4745-95ac-65f2bcb48842,Pattern Identification,Western Governors University,Identify patterns in data to inform decision making.,Analytical Techniques,Analytical Techniques; Excel; Analytical Skills; Statistical analysis; WGUSID: 7998,,,11-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000,11-1010; 11-2010; 11-2020; 11-2030; 11-3070; 11-3110; 11-9020; 11-9030,11-1011; 11-2011; 11-2021; 11-3071; 11-3111; 11-9021; 11-9033; 11-9039,,,Analytical Techniques,https://skills.emsidata.com/skills/KS120GT79SSWNBB5T99H,Lightcast Open Skills Library
733,https://osmt.wgu.edu/api/skills/df3b5214-cd70-4c92-91ed-4f37ceac2fc5,Employee Information Communication,Western Governors University,Communicate needed information to groups of employees.,Communications,Communications; WGUSID: 8095,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_PR_CIR; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; ATD.Pers.CL; NICE_PR_CDA; NICE_PR_VAM; ATD.Org.CBP; ATD.Prof.KM; NICE_PR_INF; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; ATD.Pers.C,,11-0000; 19-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000; 19-4000; 33-1000; 33-3000,11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3030; 11-3050; 11-3060; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 19-4090; 33-1010; 33-3010; 33-3020; 33-3050,11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3031; 11-3051; 11-3061; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198,,,Communications,https://skills.emsidata.com/skills/KS122556LMQ829GZCCRV,
734,https://osmt.wgu.edu/api/skills/972ce5a2-3229-460f-b86c-696ac7e4892f,Staff Performance Feedback Provision,Western Governors University,Provide written or verbal feedback to staff to give recognition or improve performance.,Communications,Communications; WGUSID: 8094,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5c; ISTE.Coach.DDM.6c; ATD.Pers.CL; NICE_OM_NET; NICE_OM_ADM; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; NICE_OM_DTA; NICE_OM_STS; ATD.Pers.C; ATD.Pers.LL,,11-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000; 33-1000; 33-3000,11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3030; 11-3050; 11-3060; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 33-1010; 33-3020; 33-3050,11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3031; 11-3051; 11-3061; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198,,,Communications,https://skills.emsidata.com/skills/KS122556LMQ829GZCCRV,
735,https://osmt.wgu.edu/api/skills/94ff1e0c-9bb7-4766-b01e-790d88993553,Stakeholder Communication,Western Governors University,"Communicate with stakeholders via email, telephone, and face-to-face conversations.",Communications,Communications; WGUSID: 8093,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_PR_CIR; NICE_IN_INV; NICE_IN_FOR; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; ATD.Pers.CL; ATD.Pers.PM; NICE_PR_CDA; NICE_PR_VAM; ISTE.Coach.CL.2b; NICE_PR_INF; NICE_OV_SPP; NICE_OV_EXL; ISTE.Coach.DCA.7a; ISTE.Coach.DCA.7b; NICE_OV_LGA; NICE_OV_TEA; ISTE.Coach.CA.1e; ATD.Pers.C,,11-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000; 33-1000; 33-3000,11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3030; 11-3050; 11-3060; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 33-1010; 33-3020; 33-3050,11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3031; 11-3051; 11-3061; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198,,,Communications,https://skills.emsidata.com/skills/KS122556LMQ829GZCCRV,
736,https://osmt.wgu.edu/api/skills/ac7d381d-38c0-4028-b6d4-d8359aa61a67,Electronic Document Creation,Western Governors University,Create electronic documents using a word processing program.,Computer Literacy,Computer Literacy; Google Docs; MS Word; WGUSID: 8096,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_PR_CIR; NICE_IN_INV; NICE_IN_FOR; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; ATD.Pers.CL; ATD.Pers.PM; NICE_OM_NET; NICE_OM_ADM; NICE_PR_CDA; NICE_PR_VAM; NICE_PR_INF; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; NICE_OM_DTA; NICE_OM_STS; ATD.Pers.C,,11-0000; 19-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000; 19-4000; 33-1000; 33-3000,11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3030; 11-3050; 11-3060; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 19-4090; 33-1010; 33-3010; 33-3020; 33-3050,11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3031; 11-3051; 11-3061; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198,,,Computer Literacy,https://skills.emsidata.com/skills/KS1227P6FBK34WLH6X8Z,
737,https://osmt.wgu.edu/api/skills/e5a8b28c-fbe5-4d63-8f36-68f0bb286ace,Electronic Spreadsheet Implementation,Western Governors University,Implement electronic spreadsheets to track and summarize data.,Computer Literacy,Computer Literacy; Google Sheets; MS Excel; WGUSID: 8097,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_LNG; NICE_OV_PMA; NICE_OM_ANA; NICE_PR_CIR; NICE_IN_INV; NICE_IN_FOR; ATD.Org.DA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; ATD.Pers.CL; ATD.Pers.PM; NICE_OM_NET; NICE_OM_ADM; NICE_PR_CDA; NICE_PR_VAM; NICE_PR_INF; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; NICE_OM_DTA; NICE_OM_STS,,11-0000; 19-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000; 19-4000; 33-1000; 33-3000,11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3030; 11-3050; 11-3060; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 19-4090; 33-1010; 33-3010; 33-3020; 33-3050,11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3031; 11-3051; 11-3061; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198,,,Computer Literacy,https://skills.emsidata.com/skills/KS1227P6FBK34WLH6X8Z,
738,https://osmt.wgu.edu/api/skills/cb53a0f7-1eac-4a11-b03c-c66c417d862a,Budget Coordination,Western Governors University,Coordinate budgets to achieve organizational goals in an economical way.,Coordinating,Excel; Coordinating; Microsoft Project; Word; Outlook; WGUSID: 8121,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; ATD.Prof.ID; ATD.Prof.TDF; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; ATD.Pers.C,,11-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000; 33-1000,11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3030; 11-3050; 11-3060; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 33-1010,11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3031; 11-3051; 11-3061; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198,,,Coordinating,https://skills.emsidata.com/skills/KS7G2F36GFX1K55V6GK4,
739,https://osmt.wgu.edu/api/skills/1bb07428-d34e-40c5-b809-9cbdbc4a5d69,Process Scheduling Coordination,Western Governors University,Coordinate process scheduling across an organization.,Coordinating,Coordinating; Microsoft Project; Gantt chart; Various cloud based PM tools; WGUSID: 8120,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; ATD.Prof.ID; ATD.Prof.TDF; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; ATD.Pers.C,,11-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000; 33-1000; 33-3000,11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3030; 11-3050; 11-3060; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 33-1010; 33-3020; 33-3050,11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3031; 11-3051; 11-3061; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198,,,Coordinating,https://skills.emsidata.com/skills/KS7G2F36GFX1K55V6GK4,
740,https://osmt.wgu.edu/api/skills/4e69190d-212f-41ad-9506-72d13dbe1f3f,Research-Based Solutions,Western Governors University,Provide solutions based on research.,Critical Thinking,GeneralEducation2019; Critical Thinking; Operations; WGUSID: 8132,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_PR_CIR; NICE_IN_INV; NICE_IN_FOR; ATD.Org.DA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; ATD.Org.ODC; ATD.Pers.CL; ATD.Pers.PM; NICE_OM_NET; NICE_OM_ADM; NICE_PR_CDA; NICE_PR_VAM; ATD.Org.CBP; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; NICE_OM_DTA; NICE_OM_STS,,11-0000; 19-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000; 19-4000; 33-1000; 33-3000,11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3020; 11-3050; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 19-4090; 33-1010; 33-3020,11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3051; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198,,,Critical Thinking,https://skills.emsidata.com/skills/KS122J56PZMMFL1SVY1F,
741,https://osmt.wgu.edu/api/skills/1fcaf3be-65a7-40d9-b22a-4410507448ad,Risk Analysis,Western Governors University,Analyze potential risks of a proposed solution.,Critical Thinking,Critical Thinking; Operations; MSITM201808; WGUSID: 8133,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_PR_CIR; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; ATD.Org.ODC; ATD.Pers.CL; NICE_OM_NET; NICE_OM_ADM; NICE_PR_CDA; NICE_PR_VAM; ATD.Org.CBP; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.DCA.7d; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; NICE_OM_DTA; NICE_OM_STS; ISTE.Coach.CA.1e,,11-0000; 19-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000; 19-4000; 33-1000; 33-3000,11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3020; 11-3050; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 19-4090; 33-1010; 33-3020,11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3051; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198,,,Critical Thinking,https://skills.emsidata.com/skills/KS122J56PZMMFL1SVY1F,
742,https://osmt.wgu.edu/api/skills/bafef2ce-5e5f-4a65-b7eb-11b34ffc8b81,Grant Proposal Writing,Western Governors University,Write a grant proposal.,Grant Writing,Excel; PowerPoint; MS Office; Access; Word; Grant Writing; WGUSID: 6929,InTASC_3a; InTASC_3i; InTASC_3n; InTASC_4g; InTASC_8n; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; InTASC_6o; ATD.Pers.C; ATD.Prof.TDFISTE_EdLeaders_3a,,11-0000; 25-0000,11-1000; 11-2000; 11-9000; 25-4000; 25-9000,11-1010; 11-2030; 11-9030; 11-9150; 25-4020; 25-9030; 25-9090,11-1011; 11-9033; 11-9151; 25-4022; 25-9031,,,Grant Writing,https://skills.emsidata.com/skills/KS124GX6XFWSP04T3RN2,
743,https://osmt.wgu.edu/api/skills/48a7f6bb-3746-477f-8d80-91d139c537f2,Creative Solutions Encouragement,Western Governors University,Encourage employees to develop creative solutions to business problems.,Innovation,Innovation; WGUSID: 8329,,,11-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000,11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3050; 11-3070; 11-3110; 11-9020; 11-9030; 11-9110; 11-9190,11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3051; 11-3071; 11-3111; 11-9021; 11-9033; 11-9039; 11-9111; 11-9198,,,Innovation,https://skills.emsidata.com/skills/KS1253H61TTR1FZWSRH4,
744,https://osmt.wgu.edu/api/skills/15dc4397-1a87-4fb7-9025-f46930e57da3,Industry Innovations Networking Participation,Western Governors University,Participate in networking to learn about industry innovations.,Innovation,Innovation; WGUSID: 8331,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; ATD.Prof.ID; ATD.Prof.TDF; ATD.Org.FR; ATD.Pers.CL; NICE_OM_NET; NICE_OM_ADM; ATD.Org.CBP; ATD.Prof.KM; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; NICE_OM_DTA; NICE_OM_STS; ISTE.Coach.CA.1e; ATD.Pers.C; ATD.Pers.LL,,11-0000; 19-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000; 19-4000; 33-1000; 33-3000,11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3050; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 19-4090; 33-1010; 33-3010; 33-3020; 33-3050,11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3051; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198,,,Innovation,https://skills.emsidata.com/skills/KS1253H61TTR1FZWSRH4,
745,https://osmt.wgu.edu/api/skills/8935d003-4b6b-413f-aca7-c6ef9002f741,Generate Ideas with Stakeholders,Western Governors University,Collaborate with other stakeholders to share innovative ideas.,Innovation,Innovation; WGUSID: 8330,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ATD.Org.FR; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.CA.1e; ATD.Pers.C,,11-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000; 33-1000; 33-3000,11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3050; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 33-1010; 33-3010,11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3051; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9033; 11-9039; 11-9111; 11-9151; 11-9198,,,Innovation,https://skills.emsidata.com/skills/KS1253H61TTR1FZWSRH4,
746,https://osmt.wgu.edu/api/skills/45ec9559-e537-455e-a1a2-c3cc015a6a38,Integration Importance Communication,Western Governors University,Communicate the importance of integration to achieve organization goals.,Integration,SAP; MS Office; MS Excel; Integration; CRM; ERP; MS Access; Enterprise software; ERM; WGUSID: 8337,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OM_ANA; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; ATD.Org.ODC; ATD.Pers.CL; ATD.Org.CBP; ATD.Pers.C,,11-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000; 33-3000,11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3050; 11-3060; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9110; 11-9150; 11-9190; 33-3020,11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3051; 11-3061; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198,,,Integration,https://skills.emsidata.com/skills/KS125716TLTGH6SDHJD1,
747,https://osmt.wgu.edu/api/skills/d1607f84-4030-4a49-bb33-d147eefb002a,Specialized Teams Organization,Western Governors University,Organize groups of employees into specialized teams to streamline task completion.,Organizational Skills,MS Office; MS Project; Visio; Organizational Skills; Organizational Effectiveness; Organizational Performance; WGUSID: 8508,,,11-0000; 33-0000,11-1000; 11-2000; 11-3000; 11-9000; 33-3000,11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3110; 11-9020; 11-9110; 33-3010; 33-3020,11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3111; 11-9021; 11-9111,,,Organizational Skills,https://skills.emsidata.com/skills/ES8B03DAD3B526316ED9,
748,https://osmt.wgu.edu/api/skills/41534c8c-4b36-4dac-987b-a3d6c23b3a54,Attitude-Changing Message Development,Western Governors University,Develop a message that causes a change in attitude or behavior.,Persuasion,Persuasive Communication; Persuasion; WGUSID: 8506,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; ATD.Org.ODC; ATD.Pers.CL; ATD.Org.CBP; ATD.Prof.KM; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; ATD.Pers.C,,11-0000; 33-0000,11-1000; 11-2000; 11-3000; 33-1000; 33-3000,11-1010; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3130; 33-1010; 33-3010; 33-3050,11-1011; 11-2011; 11-2021; 11-2022; 11-2032; 11-2033; 11-3012; 11-3013; 11-3021; 11-3131,,,Persuasive Communication,https://skills.emsidata.com/skills/KS127QD6R8SVZFYYKLLM,
749,https://osmt.wgu.edu/api/skills/91739573-f6c3-4bf5-82a1-b2868e17183c,Validate Claims with Facts,Western Governors University,Provide facts and examples that validate claims being made in an argument.,Persuasion,Persuasive Communication; Persuasion; WGUSID: 8505,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; ATD.Org.ODC; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP; ATD.Prof.KM; ISTE.Coach.DCA.7c; NICE_OV_SPP; NICE_OV_EXL; ISTE.Coach.DCA.7b; NICE_OV_LGA; NICE_OV_TEA; ATD.Pers.C,,11-0000; 33-0000,11-1000; 11-2000; 11-3000; 33-1000; 33-3000,11-1010; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3130; 33-1010; 33-3010; 33-3050,11-1011; 11-2011; 11-2021; 11-2022; 11-3021; 11-3131,,,Persuasive Communication,https://skills.emsidata.com/skills/KS127QD6R8SVZFYYKLLM,
750,https://osmt.wgu.edu/api/skills/c7bfc41c-b3ae-4622-869e-f82e10d9d057,Identify the Goal of a Persuasive Message,Western Governors University,Identify the desired outcome of a persuasive message.,Persuasion,Persuasive Communication; Persuasion; WGUSID: 8504,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; ATD.Org.ODC; ATD.Pers.CL; ATD.Org.CBP; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; ATD.Pers.C,,11-0000; 33-0000,11-1000; 11-2000; 11-3000; 33-1000; 33-3000,11-1010; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3130; 33-1010; 33-3010; 33-3050,11-1011; 11-2011; 11-2021; 11-2022; 11-3021; 11-3131,,,Persuasive Communication,https://skills.emsidata.com/skills/KS127QD6R8SVZFYYKLLM,
